"TOA5","12191","CR1000","12191","CR1000.Std.31","CPU:BUAN_SOLYS2(161020_1).CR1","4648","min10"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","AirTC_Avg","RH","Rain_mm_Tot","HOR_sun_Avg","HOR_shad_Avg","DIRN_Avg"
"TS","RN","","Deg","","","","","",""
"","","WVc","WVc","Avg","Smp","Tot","Avg","Avg","Avg"
"2018-09-09 00:10:00",72053,0.136,92.2,17.5,83.7,0,0,0,0
"2018-09-09 00:20:00",72054,0.235,101.8,17.26,84.9,0,0,0,0
"2018-09-09 00:30:00",72055,0.013,90.7,16.97,85.1,0,0,0,0
"2018-09-09 00:40:00",72056,0.092,89.3,16.82,85.5,0,0,0,0
"2018-09-09 00:50:00",72057,0.369,92.9,16.67,84.2,0,0,0,0
"2018-09-09 01:00:00",72058,0.959,87.2,16.9,82.1,0,0,0,0
"2018-09-09 01:10:00",72059,1.079,76.51,16.97,82.3,0,0,0,0
"2018-09-09 01:20:00",72060,0.818,82.4,16.9,82.3,0,0,0,0
"2018-09-09 01:30:00",72061,1.031,85,16.93,81.9,0,0,0,0
"2018-09-09 01:40:00",72062,0.88,84.6,16.96,81.8,0,0,0,0
"2018-09-09 01:50:00",72063,0.399,85.5,16.99,81.3,0,0,0,0
"2018-09-09 02:00:00",72064,0.499,96.4,16.99,81.7,0,0,0,0
"2018-09-09 02:10:00",72065,1.028,90.4,16.96,79.87,0,0,0,0
"2018-09-09 02:20:00",72066,0.488,101.7,17.29,79.28,0,0,0,0
"2018-09-09 02:30:00",72067,0.575,105,17.3,80.4,0,0,0,0
"2018-09-09 02:40:00",72068,0.767,99.5,17.18,80.9,0,0,0,0
"2018-09-09 02:50:00",72069,1.434,79.04,17.33,78.47,0,0,0,0
"2018-09-09 03:00:00",72070,1.565,83.9,17.69,78.42,0,0,0,0
"2018-09-09 03:10:00",72071,1.212,92,17.59,79.74,0,0,0,0
"2018-09-09 03:20:00",72072,0.924,91.7,17.55,81,0,0,0,0
"2018-09-09 03:30:00",72073,0.744,84.7,17.37,81.4,0,0,0,0
