"TOA5","12191","CR1000","12191","CR1000.Std.31","CPU:BUAN_SOLYS2(161020_1).CR1","4648","hour"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","AirTC_Avg","RH","Rain_mm_Tot","HOR_sun_Avg","HOR_shad_Avg","DIRN_Avg"
"TS","RN","","Deg","","","","","",""
"","","WVc","WVc","Avg","Smp","Tot","Avg","Avg","Avg"
"2018-09-09 01:00:00",12007,0.301,91.3,17.02,82.1,0,0,0,0
"2018-09-09 02:00:00",12008,0.785,83.9,16.96,81.7,0,0,0,0
"2018-09-09 03:00:00",12009,0.976,90.6,17.29,78.42,0,0,0,0
"2018-09-09 04:00:00",12010,0.894,88.8,17.19,85.8,0,0,0,0
"2018-09-09 05:00:00",12011,0.523,82.1,16.42,88.5,0,0,0,0
"2018-09-09 06:00:00",12012,0.263,97.6,15.57,93.5,0,0,0,0
"2018-09-09 07:00:00",12013,0.797,83.7,15.55,88.2,0,33.61,32.84,0
"2018-09-09 08:00:00",12014,1.129,83.5,18.8,71.84,0,200.2,205.6,0
"2018-09-09 09:00:00",12015,1.274,78.2,21,65.74,0,412.5,414,0
"2018-09-09 10:00:00",12016,0.978,90.1,22.95,54.71,0,609.9,611.3,0.016
"2018-09-09 11:00:00",12017,1.57,347.4,24.32,54.94,0,759.8,763.4,0.304
"2018-09-09 12:00:00",12018,2.896,293.4,24.81,50.94,0,856,862,0.003
"2018-09-09 13:00:00",12019,4.133,298.7,24.98,45.52,0,900,907,0
"2018-09-09 14:00:00",12020,4.067,301.6,25.14,43.16,0,870,875,0
"2018-09-09 15:00:00",12021,4.178,299.1,25.21,49.97,0,775.7,779,0.205
"2018-09-09 16:00:00",12022,4.589,297.7,24.76,50.05,0,623,625.8,0.422
"2018-09-09 17:00:00",12023,4.753,295,24.31,52.88,0,429.6,431.1,0.181
"2018-09-09 18:00:00",12024,4.678,293,23.57,53.63,0,216.3,215.4,0
"2018-09-09 19:00:00",12025,2.974,285.4,22.45,52.94,0,37.26,37.29,0
"2018-09-09 20:00:00",12026,1.273,268.5,20.87,65.65,0,0,0,0
"2018-09-09 21:00:00",12027,1.032,240.3,20.36,62.42,0,0,0,0
"2018-09-09 22:00:00",12028,0.432,230.3,20.02,68.88,0,0,0,0
"2018-09-09 23:00:00",12029,0.036,92.1,18.4,82,0,0,0,0
"2018-09-10 00:00:00",12030,0.236,85.2,17.12,86.5,0,0,0,0
